0x1F30D	:globe showing Europe-Africa:
0x1F30E	:globe showing Americas:
0x1F30F	:globe showing Asia-Australia:
0x1F310	:globe with meridians:
0x1F5FA	:world map:
0x1F5FE	:map of Japan:
0x1F9ED	:compass:
0x1F3D4	:snow-capped mountain:
0x26F0	:mountain:
0x1F30B	:volcano:
0x1F5FB	:mount fuji:
0x1F3D5	:camping:
0x1F3D6	:beach with umbrella:
0x1F3DC	:desert:
0x1F3DD	:desert island:
0x1F3DE	:national park:
0x1F3DF	:stadium:
0x1F3DB	:classical building:
0x1F3D7	:building construction:
0x1F9F1	:brick:
0x1F3D8	:houses:
0x1F3DA	:derelict house:
0x1F3E0	:house:
0x1F3E1	:house with garden:
0x1F3E2	:office building:
0x1F3E3	:Japanese post office:
0x1F3E4	:post office:
0x1F3E5	:hospital:
0x1F3E6	:bank:
0x1F3E8	:hotel:
